scan_timestamp,scan_date,ticker,regime,regime_strength,score,grade,status,entry_price,stop_price,t1,t2,measured_move,rr_t1,rr_t2,risk_per_share,risk_pct,quantity,capital_deployed,max_loss_inr,atr_pct,relative_strength,range_pct,volume_ratio,trend_score,breakout_level,extension_pct,current_close
2026-05-27 12:08:36,2026-05-27,GRASIM.NS,BULL,0.817,,,READY,3205.49,3097.72,3421.03,3528.8,3374.0,2.0,3.0,107.77,3.36,16,51287.84,1724.32,2.27,14.44,5.58,1.42,3,3197.5,-0.9,3168.7
2026-05-27 12:08:36,2026-05-27,HAL.NS,BULL,0.817,,,WATCH,4848.39,4656.73,5231.71,5423.37,4965.9,2.0,3.0,191.66,3.95,9,43635.51,1724.94,2.88,3.16,2.94,0.61,2,4836.3,-8.39,4430.5
2026-05-27 12:08:36,2026-05-27,CUMMINSIND.NS,BULL,0.817,,,READY,5570.89,5374.07,5964.53,6161.35,5778.5,2.0,3.0,196.82,3.53,8,44567.12,1574.56,2.37,6.12,4.09,0.77,3,5557.0,-0.42,5533.5
2026-05-27 12:08:36,2026-05-27,PIDILITIND.NS,BULL,0.817,,,WATCH,1518.79,1467.64,1621.09,1672.24,1564.4,2.0,3.0,51.15,3.37,73,110871.67,3733.95,2.31,8.57,3.34,0.4,3,1515.0,-2.36,1479.2
2026-05-27 12:08:36,2026-05-27,BERGEPAINT.NS,BULL,0.817,,,WATCH,541.7,508.56,607.98,641.12,573.1,2.0,3.0,33.14,6.12,113,61212.1,3744.82,4.19,12.38,6.43,0.29,3,540.35,-2.53,526.7
2026-05-27 12:08:36,2026-05-27,DIVISLAB.NS,BULL,0.817,,,WATCH,6985.42,6749.44,7457.38,7693.36,7267.5,2.0,3.0,235.98,3.38,7,48897.94,1651.86,2.3,5.52,4.39,0.99,3,6968.0,-2.03,6826.5
2026-05-27 12:08:36,2026-05-27,DLF.NS,BULL,0.817,,,WATCH,621.55,596.49,671.67,696.73,637.8,2.0,3.0,25.06,4.03,149,92610.95,3733.94,2.81,2.49,3.01,0.67,3,620.0,-3.96,595.45
2026-05-27 12:08:36,2026-05-27,LODHA.NS,BULL,0.817,,,WATCH,977.34,930.6,1070.82,1117.56,1034.9,2.0,3.0,46.74,4.78,37,36161.58,1729.38,3.38,3.68,6.66,0.74,3,974.9,-5.48,921.5
2026-05-27 12:08:36,2026-05-27,KEI.NS,BULL,0.817,,,READY,5467.63,5234.66,5933.57,6166.54,5761.8,2.0,3.0,232.97,4.26,16,87482.08,3727.52,2.87,12.35,5.81,0.66,3,5454.0,-0.87,5406.3
2026-05-27 12:08:36,2026-05-27,SRF.NS,BULL,0.817,,,WATCH,2839.18,2742.66,3032.22,3128.74,3008.4,2.0,3.0,96.52,3.4,18,51105.24,1737.36,2.35,9.72,6.55,0.67,3,2832.1,-3.36,2737.0
2026-05-27 12:08:36,2026-05-27,ZYDUSLIFE.NS,BULL,0.817,,,READY,1096.38,1048.19,1192.76,1240.95,1152.5,2.0,3.0,48.19,4.4,77,84421.26,3710.63,2.97,22.48,5.54,0.78,3,1093.65,-0.96,1083.1
2026-05-27 12:08:36,2026-05-27,SYRMA.NS,BULL,0.817,,,WATCH,1190.97,1115.38,1342.15,1417.74,1259.0,2.0,3.0,75.59,6.35,49,58357.53,3703.91,4.77,11.22,6.78,0.55,3,1188.0,-11.07,1056.5
2026-05-27 12:08:36,2026-05-27,PERSISTENT.NS,BULL,0.817,,,WATCH,5200.67,4953.41,5695.19,5942.45,5400.0,2.0,3.0,247.26,4.75,7,36404.69,1730.82,3.25,6.78,4.21,0.65,2,5187.7,-2.17,5075.0
2026-05-27 12:08:36,2026-05-27,COFORGE.NS,BULL,0.817,,,WATCH,1450.62,1372.75,1606.36,1684.23,1514.3,2.0,3.0,77.87,5.37,48,69629.76,3737.76,3.67,19.37,4.81,0.37,3,1447.0,-2.21,1415.0
2026-05-27 12:08:36,2026-05-27,KPITTECH.NS,BULL,0.817,,,WATCH,799.49,761.36,875.75,913.88,852.5,2.0,3.0,38.13,4.77,45,35977.05,1715.85,3.29,2.85,7.21,0.58,3,797.5,-3.11,772.7
2026-05-27 12:08:36,2026-05-27,MOTILALOFS.NS,BULL,0.817,,,READY,911.27,873.48,986.85,1024.64,982.15,2.0,3.0,37.79,4.15,46,41918.42,1738.34,2.8,13.56,8.44,0.79,3,909.0,-0.95,900.4
2026-05-27 12:08:36,2026-05-27,BSE.NS,BULL,0.817,,,WATCH,4457.92,4268.18,4837.4,5027.14,4742.1,2.0,3.0,189.74,4.26,19,84700.48,3605.06,2.91,20.64,6.89,0.73,3,4446.8,-2.1,4353.6
2026-05-27 12:08:36,2026-05-27,CDSL.NS,BULL,0.817,,,WATCH,1301.95,1257.69,1390.47,1434.73,1352.5,2.0,3.0,44.26,3.4,39,50776.05,1726.14,2.37,-0.94,4.41,0.73,2,1298.7,-4.0,1246.7
2026-05-27 12:08:36,2026-05-27,CGPOWER.NS,BULL,0.817,,,READY,926.66,886.02,1007.94,1048.58,991.65,2.0,3.0,40.64,4.39,92,85252.72,3738.88,2.95,14.04,7.65,0.75,3,924.35,-0.58,919.0
2026-05-27 12:08:36,2026-05-27,THERMAX.NS,BULL,0.817,,,WATCH,4892.2,4575.71,5525.18,5841.67,5155.3,2.0,3.0,316.49,6.47,11,53814.2,3481.39,4.66,12.08,6.14,0.63,3,4880.0,-7.22,4527.6
2026-05-27 12:08:36,2026-05-27,BDL.NS,BULL,0.817,,,WATCH,1484.9,1424.48,1605.74,1666.16,1530.6,2.0,3.0,60.42,4.07,28,41577.2,1691.76,3.05,-2.0,3.75,0.68,2,1481.2,-10.71,1322.6
2026-05-27 12:08:36,2026-05-27,LALPATHLAB.NS,BULL,0.817,,,WATCH,1724.2,1632.37,1907.86,1999.69,1849.0,2.0,3.0,91.83,5.33,40,68968.0,3673.2,3.82,18.15,7.94,0.27,3,1719.9,-6.91,1601.0
2026-05-27 12:08:36,2026-05-27,TIINDIA.NS,BULL,0.817,,,READY,3192.96,3019.45,3539.98,3713.49,3400.0,2.0,3.0,173.51,5.43,10,31929.6,1735.1,3.66,8.18,7.05,0.65,3,3185.0,-0.84,3158.3
2026-05-27 12:15:25,2026-05-27,RELIANCE.NS,BULL,0.817,,,WATCH,1477.08,1437.08,1557.08,1597.08,1499.3,2.0,3.0,40.0,2.71,43,63514.44,1720.0,1.97,-4.24,1.91,0.65,1,1473.4,-8.04,1355.0
2026-05-27 12:15:25,2026-05-27,AXISBANK.NS,BULL,0.817,,,READY,1320.29,1282.04,1396.79,1435.04,1389.2,2.0,3.0,38.25,2.9,45,59413.05,1721.25,1.95,4.4,5.59,0.74,2,1317.0,-0.47,1310.8
2026-05-27 12:15:25,2026-05-27,KOTAKBANK.NS,BULL,0.817,,,WATCH,396.14,382.8,422.82,436.16,412.4,2.0,3.0,13.34,3.37,131,51894.34,1747.54,2.29,2.42,4.46,0.57,3,395.15,-1.67,388.55
2026-05-27 12:15:25,2026-05-27,TECHM.NS,BULL,0.817,,,WATCH,1510.57,1449.73,1632.25,1693.09,1579.7,2.0,3.0,60.84,4.03,28,42295.96,1703.52,2.78,0.03,5.07,0.53,3,1506.8,-3.21,1458.4
2026-05-27 12:15:25,2026-05-27,BHARTIARTL.NS,BULL,0.817,,,WATCH,1958.68,1895.4,2085.24,2148.52,2028.7,2.0,3.0,63.28,3.23,27,52884.36,1708.56,2.27,-0.31,4.01,0.57,3,1953.8,-4.75,1861.0
2026-05-27 12:15:25,2026-05-27,LT.NS,BULL,0.817,,,READY,4109.71,4004.67,4319.79,4424.83,4294.51,2.0,3.0,105.04,2.56,16,65755.36,1680.64,1.72,3.24,4.89,0.62,3,4099.46,-0.91,4062.0
2026-05-27 12:15:25,2026-05-27,ASIANPAINT.NS,BULL,0.817,,,READY,2696.32,2604.09,2880.78,2973.01,2788.4,2.0,3.0,92.23,3.42,40,107852.8,3689.2,2.29,10.77,3.74,0.85,3,2689.6,-0.28,2682.1
2026-05-27 12:15:25,2026-05-27,MARUTI.NS,BULL,0.817,,,WATCH,14010.94,13611.73,14809.36,15208.57,14372.0,2.0,3.0,399.21,2.85,4,56043.76,1596.84,2.02,0.24,3.02,0.71,2,13976.0,-5.51,13206.0
2026-05-27 12:15:25,2026-05-27,M&M.NS,BULL,0.817,,,WATCH,3407.5,3290.93,3640.64,3757.21,3500.1,2.0,3.0,116.57,3.42,15,51112.5,1748.55,2.49,1.9,3.25,0.68,1,3399.0,-8.1,3123.6
2026-05-27 12:15:25,2026-05-27,BAJAJ-AUTO.NS,BULL,0.817,,,READY,10840.03,10460.58,11598.93,11978.38,11195.0,2.0,3.0,379.45,3.5,4,43360.12,1517.8,2.35,8.97,3.6,0.9,3,10813.0,-0.25,10785.5
2026-05-27 12:15:25,2026-05-27,HINDALCO.NS,BULL,0.817,,,READY,1156.88,1109.1,1252.44,1300.22,1226.8,2.0,3.0,47.78,4.13,36,41647.68,1720.08,2.78,11.53,6.55,1.11,3,1154.0,-0.63,1146.7
2026-05-27 12:15:25,2026-05-27,TATASTEEL.NS,BULL,0.817,,,WATCH,224.96,217.19,240.5,248.27,235.7,2.0,3.0,7.77,3.45,225,50616.0,1748.25,2.4,3.14,5.36,0.8,3,224.4,-3.85,215.76
2026-05-27 12:15:25,2026-05-27,JSWSTEEL.NS,BULL,0.817,,,READY,1331.32,1293.24,1407.48,1445.56,1383.2,2.0,3.0,38.08,2.86,45,59909.4,1713.6,1.93,4.96,4.27,1.11,3,1328.0,-1.06,1313.9
2026-05-27 12:15:25,2026-05-27,ADANIPORTS.NS,BULL,0.817,,,READY,1847.41,1780.21,1981.81,2049.01,1908.8,2.0,3.0,67.2,3.64,55,101607.55,3696.0,2.45,11.23,3.66,0.51,3,1842.8,-0.91,1826.0
2026-05-27 12:15:25,2026-05-27,APOLLOHOSP.NS,BULL,0.817,,,WATCH,8464.11,8206.22,8979.89,9237.78,8834.5,2.0,3.0,257.89,3.05,6,50784.66,1547.34,2.1,8.5,4.71,1.28,3,8443.0,-2.82,8205.0
2026-05-27 12:15:25,2026-05-27,POLYCAB.NS,BULL,0.817,,,READY,9716.23,9410.02,10328.65,10634.86,10208.0,2.0,3.0,306.21,3.15,12,116594.76,3674.52,2.13,19.26,5.48,0.55,3,9692.0,-1.08,9587.0
